,competitors,score,actual_placement,adjusted_score,adjusted_placement
102,Landy Pui Boon Eng,-27,101,0.44175464946769694,112
103,Aya Fouad,-27,102,0.44175464946769694,104
104,Victoria Frascolla,-27,103,0.44175464946769694,114
105,Alaa Hannora,-27,104,0.44175464946769694,109
106,Tsai-Jui Hung,-27,105,0.44175464946769694,111
107,Nina Juna,-27,106,0.44175464946769694,106
108,Sanaa Mandar,-27,107,0.44175464946769694,110
109,Sheena Miller,-27,108,0.44175464946769694,102
110,Gabriela Perez,-27,109,0.44175464946769694,105
111,Sara Pinto,-27,110,0.44175464946769694,108
112,Jessica Sanki,-27,111,0.44175464946769694,103
113,Danielle Shanine,-27,112,0.44175464946769694,116
114,Vilija Teel,-27,113,0.44175464946769694,115
115,Patricia Trujillo,-27,114,0.44175464946769694,113
116,Delice Adonis,-42,115,0.0,123
117,Dema Al Zebdieh,-42,116,0.0,124
118,Amal Alshahrani,-42,117,0.0,119
119,Zaida Amade,-42,118,0.0,131
120,MariaNive Clark,-42,119,0.0,128
121,Laura Gonzalez-Marin,-42,120,0.0,127
122,Krista Kraskura,-42,121,0.0,126
123,Chanelle Munroe,-42,122,0.0,118
124,Mishka Murad,-42,123,0.0,120
125,Trang Nguyen,-42,124,0.0,117
126,Cingiwe Ciegy Seru,-42,125,0.0,121
127,Miriam Torra Sola,-42,126,0.0,130
128,Tamara Trumbetaš,-42,127,0.0,122
129,Keshini Vitharana,-42,128,0.0,125
130,Melanie Yip Woon Sun,-42,129,0.0,129
