,competitors,score,actual_placement,adjusted_score,adjusted_placement
52,Luke Fiso,48,52,53.057944625692315,59
53,Darwin Perez,47,53,51.1141921953394,60
54,Marlon Azurdia,46,54,76.89907322203607,51
55,Aleksandar Ilin,45,55,59.45069322363141,55
56,Alexander Anasagasti,41,56,34.795696149368226,65
57,Mahmood Shalan,40,57,48.361283713565484,61
58,Erik Toth,35,58,69.15032186717393,53
59,Lefteris Theofanidis,34,59,54.687072822048755,58
60,Ates Boran,33,60,22.60939351057418,69
61,Hunter McIntyre,31,61,11.965300628178298,72
62,Connor Nellans,31,62,61.81491592714587,54
63,Augustin Vilicnik,31,63,28.343681879421922,68
64,Shingo Moromasa,31,64,46.86384088001541,62
65,Amin Attallah,25,65,58.023957107526535,56
66,Omar Martinez,24,66,12.064988136412111,71
67,Sam Lubben,23,67,37.334819821822336,64
68,Uyi Nosa Osawe,20,68,10.170505533951555,74
69,Christoph Koerner,18,69,44.54568806089182,63
70,Oleksandr Shkoliarenko,18,70,34.37133527954981,66
71,Đorđe Đurić,16,71,31.016365093120655,67
72,Hamzeh Tarefi,13,72,10.248759990848797,73
73,Piero Gorichon,7,73,22.081621836940087,70
74,Marzougui Mootez,3,74,9.650494959439882,75
75,Jean-Claude Jardim,3,75,9.273107986838184,81
76,Khalid Aljarallah,-2,76,9.273107986838184,83
77,Diego Kemper,-3,77,9.273107986838184,85
78,Severin Irimia,-4,78,9.273107986838184,77
79,Vernon Neal,-5,79,9.273107986838184,78
80,João Ferreira,-6,80,9.273107986838184,90
81,Eusebio Aldano,-7,81,9.273107986838184,89
82,Josh Miller,-8,82,9.273107986838184,82
83,Alvaro Lopez,-9,83,9.273107986838184,86
84,Jean-Simon Roy-Lemaire,-10,84,9.273107986838184,84
85,Justin Hernandez,-11,85,9.273107986838184,80
86,Franky Wood,-12,DQ,9.273107986838184,88
87,Streat Hoerner,-13,86,9.273107986838184,76
88,Jeremy Mghenyi,-14,87,9.273107986838184,87
89,Zachery Buntin,-15,88,9.273107986838184,79
90,Mihkel Keldoja,-16,89,8.973975471133727,91
91,Stavri Stavrev,-17,90,8.375710439724813,92
92,Santiago Comba,-18,91,8.375710439724813,94
93,Bartek Lipka,-19,92,8.375710439724813,93
94,Andre Alipate,-20,93,8.076577924020356,95
95,Dillon Mahadeo,-21,94,7.777445408315899,96
96,Marco Almeida,-22,95,7.4783128926114415,97
97,Payam Saljoughian,-23,96,7.179180376906984,99
98,Majid Al Sharaf,-24,97,7.179180376906984,98
99,Richard Paul Castillo,-25,98,6.880047861202527,103
100,David Stroupek,-26,99,6.880047861202527,105
101,Sebastian Rodriguez,-27,100,6.880047861202527,102
102,Nikita Yundov,-28,101,6.880047861202527,106
103,Edmund Tan,-29,102,6.880047861202527,101
104,Sion Brinn,-30,103,6.880047861202527,104
105,Bayden Brown,-31,104,6.880047861202527,100
106,Tim Paulson,-32,105,6.58091534549807,107
107,JiMoo Son,-33,106,6.58091534549807,109
108,Mattheaus Otero,-34,107,6.58091534549807,108
109,Karim El Hlimi,-35,108,6.281782829793613,110
110,David Morley,-36,109,5.982650314089156,112
111,Rodrigo Beltrán,-37,110,5.982650314089156,111
112,Moustafa Awada,-38,111,5.384385282680242,113
113,Hussain Saeedi,-39,112,5.085252766975785,114
114,Jovaldo Miranda,-40,113,5.085252766975785,115
115,Mahendra Arditirta,-41,114,4.786120251271328,116
116,Edem Ahiaku,-42,115,4.486987735566871,117
117,Robert Berisha,-43,116,3.5895901884534993,124
118,William Sanchez,-44,117,3.5895901884534993,120
119,Richy Jordan,-45,118,3.5895901884534993,119
120,Yuval Regev,-46,119,3.5895901884534993,122
121,Chaker Alouni,-47,120,3.5895901884534993,118
122,Khalid Alhamadi,-48,121,3.5895901884534993,123
123,Daryl Borg,-49,122,3.5895901884534993,121
124,Mustafa El-Lari,-50,123,3.290457672749042,126
125,Achilleas Pantazis,-51,DQ,3.290457672749042,125
126,Mody Traore,-52,124,2.692192641340128,127
127,Stefano Migliorini,-53,125,0.5982650314089284,129
128,Katlego Kgwadi,-54,126,0.5982650314089284,133
129,Heskeith Flavien,-55,127,0.5982650314089284,130
130,Pack Santos,-56,128,0.5982650314089284,131
131,Kobe Khy,-57,129,0.5982650314089284,128
132,Sami Salampur,-58,130,0.5982650314089284,132
133,Arturocesar Mora,-59,131,0.2991325157044713,137
134,Bilal Tariq,-59,132,0.2991325157044713,134
135,Vedharth Thappa,-59,133,0.2991325157044713,136
136,Ian Wee,-59,134,0.2991325157044713,135
137,J. Rodrigo Agreda,-63,135,1.4210854715202004e-14,142
138,Andy Andrews,-63,136,1.4210854715202004e-14,140
139,Enric Closa,-63,137,1.4210854715202004e-14,139
140,Kila Kilaverave,-63,138,1.4210854715202004e-14,141
141,Keith Nhan,-63,139,1.4210854715202004e-14,138
